 2017-06-13 11:16:16 INFO: initializing ciphers... rc4-md5
 2017-06-13 11:16:16 INFO: tcp port reuse enabled
 2017-06-13 11:16:16 INFO: listening at 127.0.0.1:1080
 2017-06-13 17:30:29 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 17:30:29 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 17:30:30 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 17:30:30 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 17:30:31 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 17:30:31 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 17:30:32 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 17:30:32 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 17:30:33 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 17:30:33 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 17:30:34 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 17:30:34 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 17:30:35 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 17:30:35 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 17:30:35 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 17:38:15 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 17:38:15 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 17:38:15 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 17:38:15 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 17:38:15 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 17:38:16 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 17:39:47 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 17:39:47 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 18:44:04 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 18:44:14 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 18:44:34 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 18:45:14 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 18:45:15 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 18:45:16 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 18:45:17 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 18:45:18 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 18:45:19 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 18:45:20 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 18:45:21 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 18:45:22 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 18:45:23 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 18:48:55 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 18:48:56 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 18:48:57 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 18:48:58 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 18:48:59 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 18:49:00 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 18:49:01 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 18:49:02 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 18:49:05 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 18:49:06 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 18:49:17 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 18:49:18 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 18:49:19 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 18:49:20 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 18:49:21 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 18:49:22 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 18:49:22 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 18:49:23 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 18:49:24 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 18:49:25 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 18:49:26 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 18:50:16 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 18:50:26 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 18:50:46 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 18:51:26 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 18:52:46 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 18:56:23 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 18:56:33 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 18:58:33 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 19:10:00 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 19:10:10 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 19:10:50 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 19:13:33 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 19:16:21 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 19:16:22 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 19:20:11 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 19:20:11 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 19:24:08 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 19:30:33 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 19:30:34 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 19:34:35 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 19:42:11 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 19:44:15 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 19:52:11 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 19:54:45 ERROR: remote_recv_cb_recv: Connection reset by peer
